,D1_lag1,None_lag1,T2M_lag2,PREC_roll12_std,RH2M,RH2M_lag2,RH2M_lag8,PREC_roll4_std,T2M_roll12_mean,PRECTOTCORR,RH2M_lag4,ALLSKY_SFC_SW_DWN,PREC_lag2,RH2M_lag1,PREC_lag1,PREC_roll4_mean,PREC_roll12_mean,WS2M,PREC_lag4,PREC_lag8,PS,D2_lag1,D3_lag1,D4_lag2,week_sin
RH2M_lag4,0.3831715256347242,0.3836331344159032,0.2948280494921866,0.20293934043981374,0.4473521609492279,0.5159767496416628,0.4539732425800867,0.07370524609455198,0.3243614413052153,0.06347938322827014,1.0,0.1856460551450738,0.04162103981726464,0.44861526940189195,0.08790645448330349,0.07843088994456364,0.11999567104066072,0.04231278907472527,0.34663458380479406,0.043783335772869456,0.061323196861006464,0.34858308617876893,0.29142956983086027,0.16969393332791904,0.2094893264639558
ALLSKY_SFC_SW_DWN,0.06053629772721935,0.06135473582104958,0.7170062611574464,0.2490060851484955,0.4451916203898308,0.2157790454540596,0.04402379511328379,0.3379991535071953,0.341560605192812,0.22316992839061275,0.1856460551450738,1.0,0.4100816015493618,0.2561718034479253,0.3985764392952309,0.5550763065588046,0.46293444064965944,0.09508375815941654,0.3453302323885917,0.21418047128678047,0.4152697022035035,0.0006947488416417548,0.016344154001120815,0.04127209851095248,0.07964924500998097
PREC_lag2,0.09540869234784871,0.16695585891539233,0.3879154798800429,0.42545144631344556,0.09664106237758358,0.3474303945293614,0.05926293683979613,0.5327569781011194,0.307677845062519,0.28326574669202614,0.04162103981726464,0.4100816015493618,1.0,0.20464916564458482,0.3282351759960412,0.7074907557790319,0.49723833823301256,0.14478803910667418,0.2842911396130015,0.14730982956348612,0.14097903625838495,0.0916940033250103,0.06107757938637066,0.028440589060478486,0.12929143437990834
RH2M_lag1,0.3341916914904623,0.30086965998263804,0.3434331698709512,0.29254553114742404,0.6636066446296961,0.6639003051782564,0.342986802874907,0.2679660706190594,0.2670312880202125,0.0005196958997252951,0.44861526940189195,0.2561718034479253,0.20464916564458482,1.0,0.3506920382767733,0.2661277373004616,0.15355664007292605,0.049698307130384006,0.07845142112894728,0.050839748585954976,0.10154607520884783,0.2942539621628671,0.2140558617952161,0.12012360868974238,0.12029862774213756
PREC_lag1,0.04330718819213378,0.09215466147931198,0.4004182019939749,0.3974490749311222,0.20797587156145755,0.0020228307903377876,0.012638457341216764,0.5225541919251905,0.2639147219658839,0.32607948857607477,0.08790645448330349,0.3985764392952309,0.3282351759960412,0.3506920382767733,1.0,0.6655064137682313,0.4479174176245823,0.18266375979915528,0.21718197729859082,0.21235409919817544,0.20720951218682374,0.06470197061426769,0.03363053685494759,0.030739864697106153,0.07211868168632914
PREC_roll4_mean,0.1440228909633367,0.25727275906232494,0.5896468153003306,0.6264553002902569,0.156863196096564,0.23866421567246873,0.07017366874309264,0.7738528093929007,0.4694949892362294,0.3720408516024629,0.07843088994456364,0.5550763065588046,0.7074907557790319,0.2661277373004616,0.6655064137682313,1.0,0.739447128467925,0.2352244243806753,0.6666104581600549,0.26330708703307487,0.23797661518459065,0.13142973985796474,0.08832433372985557,0.048868264332692875,0.2247730600726276
PREC_roll12_mean,0.2726831577445523,0.41847671970815314,0.718249131971165,0.8350090487575602,0.09967178052394923,0.15081356343404692,0.060926896392829825,0.5957413339652244,0.7453861173632199,0.2927898430617091,0.11999567104066072,0.46293444064965944,0.49723833823301256,0.15355664007292605,0.4479174176245823,0.739447128467925,1.0,0.38783944085533173,0.5539291533112864,0.5678770171320378,0.109018700782974,0.2188411366967885,0.14648172498367895,0.07461096053375436,0.5999737569102361
WS2M,0.04984534872778271,0.10963509537458142,0.2971122425082356,0.3212503111847108,0.17967099106151266,0.023277734545817403,0.10706045268981015,0.1665975616840361,0.3900625824271084,0.07294652481858668,0.04231278907472527,0.09508375815941654,0.14478803910667418,0.049698307130384006,0.18266375979915528,0.2352244243806753,0.38783944085533173,1.0,0.14110719122508553,0.21007458720780722,0.2903325648082204,0.0004717294998779771,0.027437301195727595,0.04338199903280884,0.3746156752309586
PREC_lag4,0.13443963893661098,0.23839523855798359,0.43723625373318464,0.4515224676892733,0.04732152396479761,0.09859032118245345,0.06876679577230135,0.5330952396741823,0.3744202186265041,0.19451793100365652,0.34663458380479406,0.3453302323885917,0.2842911396130015,0.07845142112894728,0.21718197729859082,0.6666104581600549,0.5539291533112864,0.14110719122508553,1.0,0.19451019496384758,0.18450654286313736,0.10585543257381762,0.08008334868916435,0.036197745506535255,0.23383656418627027
PREC_lag8,0.16700679242377156,0.24527391947875193,0.38933496280753715,0.4681365660425944,0.027116614524464514,0.03891656595775022,0.3336190911940158,0.25573887599015144,0.44248426798978346,0.11344878366274985,0.043783335772869456,0.21418047128678047,0.14730982956348612,0.050839748585954976,0.21235409919817544,0.26330708703307487,0.5678770171320378,0.21007458720780722,0.19451019496384758,1.0,0.07557467628753398,0.12918467477770101,0.07622988926374287,0.04647663869959334,0.39885605810771957
PS,0.020416756419257862,0.04668897701542448,0.2751652363259172,0.06189976294706332,0.08608701992195894,0.11597579744358302,0.012948322985253889,0.175198238680481,0.04124544545750303,0.3508360072618881,0.061323196861006464,0.4152697022035035,0.14097903625838495,0.10154607520884783,0.20720951218682374,0.23797661518459065,0.109018700782974,0.2903325648082204,0.18450654286313736,0.07557467628753398,1.0,0.019095239536142426,0.012132943894655418,0.028503076214551927,0.18016587805357753
D2_lag1,0.7578804356178873,0.5098850737907863,0.009608528308920247,0.2082144291374333,0.26107764520376814,0.32331854013295935,0.3644421641690357,0.09264464667340351,0.020638166790649587,0.04868631172594512,0.34858308617876893,0.0006947488416417548,0.0916940033250103,0.2942539621628671,0.06470197061426769,0.13142973985796474,0.2188411366967885,0.0004717294998779771,0.10585543257381762,0.12918467477770101,0.019095239536142426,1.0,0.6960592340134264,0.3859359637436178,0.009891010334775427
D3_lag1,0.49510206449788374,0.3310837734068928,0.0249569305630723,0.13088034705105497,0.18519794007232476,0.24831749617995438,0.3099005081832868,0.048574505014216195,0.061417149383800065,0.028963277312338283,0.29142956983086027,0.016344154001120815,0.06107757938637066,0.2140558617952161,0.03363053685494759,0.08832433372985557,0.14648172498367895,0.027437301195727595,0.08008334868916435,0.07622988926374287,0.012132943894655418,0.6960592340134264,1.0,0.6060533742742972,0.06108592479885272
D4_lag2,0.2728608153229428,0.18227125030219504,0.014862138165633032,0.060397059566026534,0.10578388422088328,0.1344808524778223,0.21907352479415004,0.012404312831374342,0.07243752514166503,0.036116848739728376,0.16969393332791904,0.04127209851095248,0.028440589060478486,0.12012360868974238,0.030739864697106153,0.048868264332692875,0.07461096053375436,0.04338199903280884,0.036197745506535255,0.04647663869959334,0.028503076214551927,0.3859359637436178,0.6060533742742972,1.0,0.08652406372515557
week_sin,0.08064722789065412,0.15603593612981112,0.5093704745282944,0.43607280470456816,0.08635351965741309,0.15110505807643113,0.28832860780815256,0.20375778293859545,0.8849978015868064,0.016871343337378438,0.2094893264639558,0.07964924500998097,0.12929143437990834,0.12029862774213756,0.07211868168632914,0.2247730600726276,0.5999737569102361,0.3746156752309586,0.23383656418627027,0.39885605810771957,0.18016587805357753,0.009891010334775427,0.06108592479885272,0.08652406372515557,1.0
