,None_lag1,RH2M_lag8,T2M_lag8,ALLSKY_SFC_SW_DWN,PREC_roll12_std,T2M_lag1,RH2M_lag4,T2M_lag4,PS,PREC_roll4_mean,heat_dry_stress,RH2M_lag1,RH2M_lag2,PREC_roll12_mean,PREC_lag2,PREC_roll4_std,RH2M,PREC_lag8,WS2M,PRECTOTCORR,PREC_lag1,PREC_lag4,D1_lag1,D2_lag1,D3_lag1
heat_dry_stress,0.023927990914378982,0.27443520974187924,0.5087318984026498,0.8429452500312566,0.4800934941408549,0.8840332169867224,0.4071572744867679,0.7734630626063393,0.22543542874900976,0.5326203410238385,1.0,0.5188900159800865,0.468897244835094,0.6112597270106803,0.3821696320147803,0.3628593192884434,0.646927089453951,0.3744369952317937,0.4336477323051009,0.21796399280870749,0.32191283284270755,0.39343643198982386,0.10367735178348338,0.07306498015640439,0.005933691906840168
RH2M_lag1,0.2620409612480537,0.36268726442007165,0.29070721814908446,0.335770077502514,0.029882819685949035,0.47200109456479966,0.5021113700280861,0.4190226921086324,0.07556230229910135,0.08282964349979689,0.5188900159800865,1.0,0.6670995241234825,0.032771235531776736,0.043924806750648034,0.08573485976052753,0.6672954677016912,0.04204684843967877,0.0662656992322092,0.07794035705904313,0.27565385427587374,0.04961764889076798,0.28355683094301776,0.26212406884088213,0.2168289219741536
RH2M_lag2,0.30492157960513,0.38521276976035135,0.328388063069554,0.2875515553748285,0.018229898596025453,0.4167725585305064,0.5497869374908428,0.41412606509645483,0.12468858800878996,0.07348086789788291,0.468897244835094,0.6670995241234825,1.0,0.035213709729399446,0.27094054017815583,0.06266446859433375,0.5512889772048803,0.048944579415472596,0.10572864333398478,0.09069008565521079,0.07520694900941662,0.03846441419525583,0.3065881594325869,0.28000078445849846,0.239187264330253
PREC_roll12_mean,0.307313375338602,0.05298251184675141,0.6569978390472461,0.5620951164320148,0.8622797910082666,0.7597583774336352,0.04717349172376852,0.7852508314991821,0.0471298016659808,0.7723781569627521,0.6112597270106803,0.032771235531776736,0.035213709729399446,1.0,0.5271731909577606,0.5617183773919655,0.07954767247507652,0.6103319600833925,0.5605461542560222,0.3338682984937001,0.48175338502534937,0.5867381507768464,0.21257170289826963,0.20939590058004817,0.24484296586711424
PREC_lag2,0.16140390879452102,0.07594171721605336,0.21521103764898175,0.4936071507848739,0.5080439007618887,0.4414768723343295,0.09535498310231802,0.3964088355214643,0.06255610688286994,0.7066523786689499,0.3821696320147803,0.043924806750648034,0.27094054017815583,0.5271731909577606,1.0,0.5690727793449625,0.040601075628285535,0.21625187932734585,0.276121400875402,0.2928091653309345,0.3370858449982847,0.29422751650437023,0.09981884160554648,0.10939067482762077,0.1293601707116861
PREC_roll4_std,0.21708936449879288,0.12689312176445633,0.23208839953753158,0.4872966303657888,0.6813760614214386,0.44704267673297976,0.017143350881763993,0.37218950189675987,0.1514920909950052,0.8256065609449142,0.3628593192884434,0.08573485976052753,0.06266446859433375,0.5617183773919655,0.5690727793449625,1.0,0.006128589870445556,0.1820539121872205,0.29368451907113297,0.3319017516147348,0.5600087211737271,0.5891442769105841,0.15465819555307744,0.15521292633972436,0.1628911120702692
RH2M,0.24055283837186903,0.30364671871225823,0.2456565263637603,0.515916330828616,0.00804663682766236,0.44277573994546265,0.4653702473015779,0.39183845138586043,0.046824609921406794,0.030667191029167103,0.646927089453951,0.6672954677016912,0.5512889772048803,0.07954767247507652,0.040601075628285535,0.006128589870445556,1.0,0.07502623638813745,0.008440672860370233,0.2744509164056367,0.04814277836156717,0.044247381086000064,0.2664775102866764,0.2452246258244376,0.20160482945301658
PREC_lag8,0.19243883975430698,0.25892391161384853,0.4100979795287369,0.2841229436170659,0.5012975579154789,0.4584587061809219,0.04743544186429296,0.4842679547429994,0.027004298735348164,0.34448267685948003,0.3744369952317937,0.04204684843967877,0.048944579415472596,0.6103319600833925,0.21625187932734585,0.1820539121872205,0.07502623638813745,1.0,0.33951817573440024,0.1555994228739275,0.21694632511163292,0.30285727219237446,0.13229653826704063,0.12466710469982212,0.14258846785997187
WS2M,0.07283548677546864,0.18211111519105697,0.48927794600756236,0.3272056662000292,0.4657258983323933,0.4788923558066054,0.14011664753947703,0.5279943213763171,0.24996519716632784,0.3978463746575096,0.4336477323051009,0.0662656992322092,0.10572864333398478,0.5605461542560222,0.276121400875402,0.29368451907113297,0.008440672860370233,0.33951817573440024,1.0,0.10804009935026525,0.26060134469617746,0.2896621001594419,0.015757316869200965,0.0023313268111310767,0.016019238145944643
PRECTOTCORR,0.0989432859137657,0.03122502498897035,0.10612306340417348,0.31254331835887317,0.31983447567788537,0.44296368437895706,0.0687939097856892,0.3049642984395204,0.34628827345616875,0.4368227913999068,0.21796399280870749,0.07794035705904313,0.09069008565521079,0.3338682984937001,0.2928091653309345,0.3319017516147348,0.2744509164056367,0.1555994228739275,0.10804009935026525,1.0,0.33455255952732493,0.3028033181448303,0.07250718273126387,0.08941936124863342,0.11341463530319895
PREC_lag1,0.10847283733848155,0.013998978427369252,0.15463896320518453,0.4841780351096324,0.4904285560733729,0.40352224147803223,0.07335293760501972,0.3322528955396821,0.16791644178608034,0.6873656497714861,0.32191283284270755,0.27565385427587374,0.07520694900941662,0.48175338502534937,0.3370858449982847,0.5600087211737271,0.04814277836156717,0.21694632511163292,0.26060134469617746,0.33455255952732493,1.0,0.2878847479358512,0.07731878967537963,0.09782709088113739,0.11956594573868516
PREC_lag4,0.18824972383539404,0.07796043219122128,0.308724347610759,0.4212647862150699,0.5330421090437649,0.4883709053524935,0.2716094608121934,0.40723078096110094,0.15003297953336214,0.6887435191907955,0.39343643198982386,0.04961764889076798,0.03846441419525583,0.5867381507768464,0.29422751650437023,0.5891442769105841,0.044247381086000064,0.30285727219237446,0.2896621001594419,0.3028033181448303,0.2878847479358512,1.0,0.11875115802627444,0.11902240125790703,0.14096641944776458
D1_lag1,0.7090673671873384,0.3528058124755387,0.0381252801686782,0.010691890782143741,0.2488508495231743,0.025703096904275854,0.3285629595176036,0.03729937063028522,0.010781492545277716,0.14571653091922562,0.10367735178348338,0.28355683094301776,0.3065881594325869,0.21257170289826963,0.09981884160554648,0.15465819555307744,0.2664775102866764,0.13229653826704063,0.015757316869200965,0.07250718273126387,0.07731878967537963,0.11875115802627444,1.0,0.8021869201923891,0.6815233483073095
D2_lag1,0.5321560238633296,0.32736151911201106,0.04188218207920944,0.012337565779115904,0.2513816411345945,0.0035261009352545343,0.3024528507882672,0.02190292175325778,0.022311436130544673,0.15851976035483445,0.07306498015640439,0.26212406884088213,0.28000078445849846,0.20939590058004817,0.10939067482762077,0.15521292633972436,0.2452246258244376,0.12466710469982212,0.0023313268111310767,0.08941936124863342,0.09782709088113739,0.11902240125790703,0.8021869201923891,1.0,0.8773881304785982
D3_lag1,0.45051692260997855,0.30888423437519,0.02045245533120957,0.07383970725292577,0.26739478949660805,0.06205943214016999,0.27026785688507254,0.029474553895843317,0.033110759843591665,0.18941984457499284,0.005933691906840168,0.2168289219741536,0.239187264330253,0.24484296586711424,0.1293601707116861,0.1628911120702692,0.20160482945301658,0.14258846785997187,0.016019238145944643,0.11341463530319895,0.11956594573868516,0.14096641944776458,0.6815233483073095,0.8773881304785982,1.0
